query,created_at
"matemática","2025-10-16T14:04:58.916Z"
"programación","2025-10-16T14:11:06.267Z"
"Economia","2025-10-16T14:49:49.383Z"
"Economia","2025-10-16T14:49:56.862Z"
"programación","2025-10-16T15:08:07.766Z"
"matemática","2025-10-16T15:27:28.922Z"
"matemática","2025-10-16T15:27:28.933Z"
"Economia","2025-10-16T15:30:29.158Z"
"Economia","2025-10-16T15:30:29.166Z"
"Redes","2025-10-16T15:43:07.465Z"
"Redes","2025-10-16T15:43:07.471Z"
"Redes","2025-10-16T15:58:25.920Z"
"Redes","2025-10-16T15:58:25.926Z"
"Ecuaciones","2025-10-16T20:22:18.704Z"
"Ecuaciones","2025-10-16T20:22:18.714Z"
"Redes","2025-10-16T21:30:35.412Z"
"Redes","2025-10-16T21:30:35.421Z"
"redes","2025-10-16T21:31:50.430Z"
"redes","2025-10-16T21:31:50.438Z"
"Programacion","2025-10-16T22:39:35.562Z"
"Programacion","2025-10-16T22:39:35.568Z"
"Programación","2025-10-16T22:39:38.314Z"
"Programación","2025-10-16T22:39:38.323Z"
"matemáticas","2025-10-17T03:47:30.655Z"
"matemáticas","2025-10-17T05:20:33.704Z"
"matemáticas","2025-10-22T06:12:28.976Z"
"matemáticas","2025-10-22T06:12:28.984Z"
"matemática","2025-10-22T06:12:32.332Z"
"matemática","2025-10-22T06:12:32.339Z"
"matemática","2025-10-22T06:12:33.734Z"
"matemática","2025-10-22T06:12:33.739Z"
"programación","2025-10-22T06:12:38.620Z"
"programación","2025-10-22T06:12:38.633Z"
"Programación","2025-10-22T06:13:06.141Z"
"Programación","2025-10-22T06:13:06.149Z"
"Programación I","2025-10-22T06:13:07.709Z"
"Programación I","2025-10-22T06:13:07.714Z"
"Cálculo","2025-10-23T01:52:06.915Z"
"Cálculo","2025-10-23T01:52:08.862Z"
"Cálculo","2025-10-23T01:52:09.343Z"
"Matemática","2025-10-23T01:52:13.949Z"
"Matemática","2025-10-23T01:52:13.952Z"
"Programación","2025-10-23T01:52:21.610Z"
"Cálculo","2025-10-23T01:54:04.974Z"
"Progrmación","2025-10-23T01:54:09.703Z"
"Progrmación","2025-10-23T01:54:09.704Z"
"Programación","2025-10-23T01:54:13.678Z"
"Programación","2025-10-23T01:55:34.694Z"
"Programación","2025-10-23T01:55:34.697Z"
"Cáluclo","2025-10-23T01:55:41.298Z"
"Cáluclo","2025-10-23T01:55:41.300Z"
"Cálculo","2025-10-23T01:55:45.250Z"
"Cálculo","2025-10-23T01:55:45.253Z"
"Qué es una API","2025-10-23T01:55:51.858Z"
"Qué es una API","2025-10-23T01:55:51.860Z"
"Qué es una API","2025-10-23T01:57:35.316Z"
"Qué es una API","2025-10-23T01:57:35.318Z"
"Qué es una API","2025-10-23T01:58:42.085Z"
"Qué es una API","2025-10-23T01:58:42.088Z"
"Qué es una integral","2025-10-23T01:58:56.031Z"
"Qué es una integral","2025-10-23T01:58:56.033Z"
"Que es una Integral","2025-10-23T02:01:02.440Z"
"Que es una Integral","2025-10-23T02:01:02.444Z"
"Que es una Integral","2025-10-23T02:01:04.056Z"
"Que es una Integral","2025-10-23T02:01:04.057Z"
"Que es una Integral","2025-10-23T02:01:04.633Z"
"Que es una Integral","2025-10-23T02:01:04.635Z"
"Que es una Derivada","2025-10-23T02:02:44.575Z"
"Que es una integral","2025-10-23T02:02:49.653Z"
"Que es una derivdad","2025-10-23T02:02:53.512Z"
"Que es una derivaada","2025-10-23T02:02:56.618Z"
"Que es una derivada","2025-10-23T02:02:58.689Z"
"Que es una derivada","2025-10-23T02:04:14.938Z"
"Que es una derivada","2025-10-23T02:04:15.553Z"
"Que es una derivada","2025-10-23T02:04:15.729Z"
"Que es una derivada","2025-10-23T02:04:17.045Z"
"Que es una derivada","2025-10-23T02:04:17.210Z"
"Que es una derivada","2025-10-23T02:04:17.365Z"
"Que es una derivada","2025-10-23T02:05:04.387Z"
"Que es una derivada","2025-10-23T02:06:19.540Z"
"que es una derivada","2025-10-23T02:06:25.534Z"
"que es una derivada","2025-10-23T02:07:29.175Z"
"que es una derivada","2025-10-23T02:08:38.123Z"
"Que es una integral","2025-10-23T02:12:04.343Z"
"que es una integral","2025-10-23T02:13:07.306Z"
"Derivadas","2025-10-23T02:13:28.262Z"
"Ingrales","2025-10-23T02:13:35.406Z"
"Ingrales","2025-10-23T02:13:37.872Z"
"Integrales","2025-10-23T02:13:41.547Z"
"Integral","2025-10-23T02:13:49.446Z"
"que es una integral","2025-10-23T02:14:27.506Z"
"integral","2025-10-23T02:14:45.063Z"
"que es un integral","2025-10-23T02:19:42.010Z"
"que es un integrales","2025-10-23T02:19:44.107Z"
"que es un integrale","2025-10-23T02:19:45.165Z"
"que es un integral","2025-10-23T02:19:45.892Z"
"que es un integral","2025-10-23T02:19:46.245Z"
"que es un integral","2025-10-23T02:19:46.421Z"
"que es un integral","2025-10-23T02:19:46.579Z"
"que es un integral","2025-10-23T02:19:46.726Z"
"que es un integral","2025-10-23T02:19:46.891Z"
"que es un integral","2025-10-23T02:19:57.411Z"
"que es una derivada","2025-10-23T02:22:27.765Z"
"que es una derivada","2025-10-23T02:24:34.623Z"
"derivada","2025-10-23T02:24:46.684Z"
"que es una derivada","2025-10-23T02:27:28.066Z"
"que es una integral","2025-10-23T02:27:38.659Z"
"economiaa","2025-10-23T04:08:13.490Z"
"economia","2025-10-23T04:08:14.248Z"
"programacion","2025-10-23T04:08:19.376Z"
"programacion","2025-10-23T04:08:20.241Z"
"programación","2025-10-23T04:08:22.307Z"
"calculo","2025-10-23T04:08:41.953Z"
"cálculo","2025-10-23T04:08:47.200Z"
"Sistemas","2025-10-23T04:09:40.643Z"
"Mercado","2025-10-23T04:10:06.176Z"
"Inflacion","2025-10-23T04:10:11.106Z"
"Tasa de interes","2025-10-23T04:10:18.445Z"
"que es una derivada","2025-10-23T04:10:28.700Z"
"que es una tasa de interes","2025-10-23T04:10:43.119Z"
"tasa de interes","2025-10-23T04:10:49.035Z"
"que es","2025-10-23T04:11:24.897Z"
"que","2025-10-23T04:11:33.122Z"
"que es","2025-10-23T04:11:34.385Z"
"tasa de interes","2025-10-23T04:11:42.665Z"
"integral","2025-10-23T04:12:29.213Z"
"integrales","2025-10-23T04:12:31.606Z"
"que es una derivada","2025-10-23T04:13:07.213Z"
"que es","2025-10-23T04:13:11.257Z"
"tasa de interes","2025-10-23T04:14:04.007Z"
"tasa de interes","2025-10-23T04:20:37.757Z"
"tasa de interes","2025-10-23T04:21:33.659Z"
"tasa de intere","2025-10-23T04:21:55.968Z"
"tasa de inter","2025-10-23T04:21:57.136Z"
"tasa de inte","2025-10-23T04:21:57.786Z"
"tasa de int","2025-10-23T04:21:58.421Z"
"tas de inte","2025-10-23T04:22:03.665Z"
"programacion","2025-10-23T04:23:42.728Z"
"programacion","2025-10-23T04:27:52.776Z"
"programa","2025-10-23T04:27:58.822Z"
"progra","2025-10-23T04:28:00.270Z"
"prog","2025-10-23T04:28:01.542Z"
"pro","2025-10-23T04:28:02.156Z"
"pr","2025-10-23T04:28:02.715Z"
"p","2025-10-23T04:28:03.190Z"
"p","2025-10-23T04:28:05.065Z"
"c","2025-10-23T04:28:14.710Z"
"terreno","2025-10-23T04:28:22.183Z"
